mediaSlug,mediaName,label,durationSec,dailyPlays,monthlyPriceKRW,price15DaysKRW,price10DaysKRW,price7DaysKRW,price5DaysKRW,price3DaysKRW,price1DayKRW,rawText,needsReview
samseong-media-tower-package-cpmt,삼성역 미디어타워 패키지 CPMT,30초 70회 양면 + 싱크,30,70,60000000,30000000,,20000000,,10000000,,"6,000만원/월, 3,000만원/15일, 2,000만원/7일, 1,000만원/3일",False
samseong-shilla-stay,삼성동 신라스테이 전광판,20초 100회,20,100,12000000,7000000,,4000000,3200000,2100000,700000,"1,200만원/월, 700만원/15일, 400만원/7일, 320만원/5일, 210만원/3일, 70만원/1일",False
samseong-shilla-stay,삼성동 신라스테이 전광판,30초 100회,30,100,15000000,,,5000000,4200000,2700000,900000,"1,500만원/월, 850원/15일, 500만원/7일, 420만원/5일, 270만원/3일, 90만원/1일",True
samseong-superior-tower,삼성역 사거리 슈페리어타워,20초 100회,20,100,12000000,6000000,,2800000,,1200000,400000,"1,200만원/월, 600만원/15일, 280만원/7일, 120만원/3일, 40만원/1일",False
samseong-superior-tower,삼성역 사거리 슈페리어타워,30초 100회,30,100,15000000,7500000,,3500000,,1500000,500000,"1,500만원/월, 750만원/15일, 350만원/7일, 150만원/3일, 50만원/1일",False
samseong-landmark-building,삼성동 랜드마크빌딩 전광판,15초 100회,15,100,10000000,5000000,,2500000,,1350000,500000,"1,000만원/월, 500만원/15일, 250만원/7일, 135만원/3일, 50만원/1일",False
samseong-landmark-building,삼성동 랜드마크빌딩 전광판,20초 100회,20,100,12000000,6000000,,3000000,,1620000,600000,"1,200만원/월, 600만원/15일, 300만원/7일, 162만원/3일, 60만원/1일",False
samseong-landmark-building,삼성동 랜드마크빌딩 전광판,30초 100회,30,100,15000000,7500000,,3750000,,2100000,750000,"1,500만원/월, 750만원/15일, 375만원/7일, 210만원/3일, 75만원/1일",False
samseong-luchen-tower,삼성 도심공항터미널 사거리 루첸타워,20초 100회,20,100,12000000,7200000,,4200000,,2000000,700000,"1,200만원/월, 720만원/15일, 420만원/7일, 200만원/3일, 70만원/1일",False
samseong-luchen-tower,삼성 도심공항터미널 사거리 루첸타워,30초 100회,30,100,15000000,9000000,,5500000,,2500000,900000,"1,500만원/월, 900만원/15일, 550만원/7일, 250만원/3일, 90만원/1일",False
samseong-vplex,삼성역 포스코사거리 VPLEX 전광판,30초 70회,30,70,15000000,7500000,,6000000,,4000000,,"1,500만원/월, 750만원/15일, 600만원/7일, 400만원/3일",False
samseong-vplex,삼성역 포스코사거리 VPLEX 전광판,30초 35회,30,35,9000000,,,,,,,900만원/월,False
shopping-coex-9to9-cube,삼성 COEX 9to9 Cube,20초 100회,20,100,25000000,,,,,,,"20초 100회 2,500만원/월",False
subway-gangnam-pmp,강남역 2호선 PMP,15초 200회,15,200,15000000,,,,,,,"15초 200회 1,500만원/월",False
bus-gangnam-shelter,강남대로 디지털 버스쉘터,30초 138회,30,138,25000000,,,,,,,"30초 138회 2,500만원/월",False
transport-seoul-station-ktx-panorama,서울역 KTX 파노라마 전광판,20초 100회,20,100,80000000,,,,,,,"20초 100회 8,000만원/월",False
daily-apartment-elevator-tv,아파트 엘리베이터 TV,15초 100회 패키지,15,100,6000000,,,,,,,"패키지: 지역별 600만원~ 전국 1,500만원 / 개별: 서울수도권 1만원~1만5천원, 지방 8천원",True
