,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
299,홍대 스칼렛빌딩 전광판,(주)애드웍스,37.5556137,126.9226632,서울특별시 마포구 동교동 162-6 탑라인타워,서울 마포구 양화로 148 (동교동),12.8m x 16.6m ,"연희동, 연남동 차이나타운, 한류관광지 조성으로 외국인 대상으로 하는 글로벌 광고가능 대학 및 유흥가의 밀집지역 2030세대의 젊은 층이 주로 통",06:00 - 24:00,팬클럽광고,2030,홍대거리,,,"37.5562545,126.9225912,889.0863164908842,7.960303511302249,90",1560 x 2040,"1일 20초 100회 이상 - 1,200만원/월1일 30초 100회 이상 - 1,500만원/월"
300,분당 페퍼저축은행,(주)애드웍스,37.3859178,127.1228862,경기도 성남시 분당구 서현동 262-1 페퍼존 빌딩,경기 성남시 분당구 황새울로 340 (서현동),23.7m x 8.3m (193.4㎡),"평균 지하철 일일 유동인구 6만, 주말 유동인구 10만 명이 이용하는 분당권역에 위치 기존의 분당구청, 분당소방서, 교육청, 우체국 등이 매우 인접해 있어 중·장년층까지도 상당수 근처로 유입가능 ",06:30 - 22:30,AK프라자,서현역,수인분당선,,,"37.3857992,127.1221471,-663.851883801608,23.845902824812732,100",2304 x 800,"1일 20초 100회 이상 - 1,000만원/월"
301,서울역 부양빌딩 전광판,(주)애드웍스,37.5537979,126.9723464,서울특별시 용산구 동자동 43-73 부양빌딩,서울 용산구 한강대로 397 (동자동),10.8m x 19m ,전국과 서울을 연결해주는 국내 최대의 교통역사로 상징 KTX이용고객은 연 평균 3700만명으로 집계 일반 이용객은 연 평균 690만명으로 집계 ,06:00 - 24:00,KTX,버스환승센터,,,,"37.5550769,126.9724664,520.9922128577698,1.688713279021111,90",1056 x 1888,"1일 20초 100회 이상 - 1,200만원/월1일 30초 100회 이상 - 1,500만원/월"
302,김포 동아빌딩,주식회사  은진기획,37.5620589,126.8074545,서울특별시 강서구 방화동 621-24,서울 강서구 개화동로 565 (방화동),9.6m x 4.9m,김포공항 정문입구에 위치하고 있어 김포공항을 이용하는 이용객과 롯데몰을 이용하는 고객들에게 자연스러운 광고노출이 가능합니다.,06:00 - 24:00,김포공항,롯데대형몰,글로벌유동,,,"37.5618942,126.8068704,-315.2821774215737,4.535110353185194,100",1290 x 1080,1일 20초 100회 이상 - 700만원/월
303,강남역 점프밀라노 ,인앤아웃컴퍼니,37.501235,127.0266249,서울특별시 강남구 역삼동 815 점프밀라노,서울 강남구 강남대로 432 (역삼동),11.2 x 20.0m,강남대로 중심 메인 상권 거리의 중앙에 위치. 유동인구가 많은 버스정류장과 횡단보도 인접 교차로 방향으로 정면 노출,06:00 - 24:00,강남대로,교차로,2030,,,"37.5008895,127.0260646,-326.5468063633558,23.55331506009082,100",1104 x 1968,"1일 20초 150회 - 1,500만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
308,노원역 KB국민은행,인앤아웃컴퍼니,37.6538336,127.0601763,서울 노원구 동일로 1405 (상계동),서울 노원구 동일로 1405 (상계동),15.5m x 10m,"서울 동북권의 중심, 강북 대형 복합상, 노원구 전체 인구의 약 40%가 거주하고 있는 대규모 아파트 단지가 주요 소비층",06:00 - 24:00,롯데백화점,노원구청,,,,"37.6542667,127.0607338,211.29313084266315,16.75674510874507,100",1504 x 1906,1일 20초 100회 - 700만원/월1일 30초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
309,이태원 KB국민은행,인앤아웃컴퍼니,37.5343113,126.9946316,서울특별시 용산구 이태원동 127-7,서울 용산구 이태원로 186 (이태원동),17.32m x 3.7m,#이태원 #글로벌 #문화 #쇼핑,06:00 - 24:00,이태원삼거리,이태원퀴논길,,,,"37.5344794,126.9940796,458.7736151697048,9.344521735797239,100","1696 x 352 (좌측면 864x352, 전면 832x352)",1일 20초 100회 - 600만원/월1일 30초 100회 - 700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
310,인천 부평역 KB국민은행,인앤아웃컴퍼니,37.4932868,126.7233637,인천광역시 부평구 부평동 199-14,인천 부평구 부평대로 20 (부평동),11.9m x 8.0m,"경기 서부권의 중심, 인천 핵심 상권이자 주거상업 복합상권으로 영화관, 은행, 병원 등 생활인프라 밀집 및 인근 초중고 학교 시설 분포.  GTX-B노선 확정, 경인선과 인천 1호선, 100개 넘는 버스노선이 경유하는 핵심 지역으로 확장될 예정임. 부평 산단 지식산업벨트와 도시재생활성화 사업으로 지속적인 인구 유입 전망 ",06:00 - 24:00,부평시장,롯데마트,,,,"37.493482,126.7228709,452.7755659929115,25.729436560208264,100",1152 x 768,1일 20초 100회 - 400만원/월1일 30초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
311,신제주 이마트,인앤아웃컴퍼니,33.4849679,126.4804236,제주특별자치도 제주시 노형동 919,제주특별자치도 제주시 1100로 3348 (노형동),17.6m x 9.8m,"제주시 노형오거리 골드라인! 면세점, 롯데마트, 이마트, 영화관, 금융기관이 밀집되어 있는 중심 상권. 국내외 유동인구와 유동차량이 밀집된 지역",07:00 - 22:00,노형오거리,이마트,중문관광단지,공항,,"33.4862197,126.4800756,-219.06844974750564,2.0216972515136233,90",1920 x 1080,1일 20초 100회 - 700만원/월1일 30초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
312,홍대 H2(영풍문고) 전광판,인앤아웃컴퍼니,37.5569371,126.9233225,서울특별시 마포구 동교동 159-5,서울 마포구 양화로 161 (동교동),11.7mx 18.2m,"경의선숲길(연트럴파크) 중심으로 MZ세대 핫플레이스 밀집, 대학상권으로 문화예술거리를 중심으로 젊은층 패션/뷰티 편집숍과 문화시설 분포. (H1(CGV) 전광판과 번들 판매)",06:00 - 24:00,2030,공항철도,,,,"37.5568032,126.9238433,-83.73140231282086,38.16441656087714,100",1150 x 1800,"1일 20초 150회 - 1,500만원/월1일 30초 100회 - 1,500만원/월H더블비전 PKG.- 2,200만원(20초100회)- 2,500만원(30초100회)*기재된 내용 외의 기간 및 비용 협의 가능"
