,지도표시 매체명,회사명,매체 위치좌표,,지번주소,도로명주소,규격,입지특성,,키워드1,키워드2,키워드3,키워드4,키워드5,거리뷰좌표,해상도,계약정보
406,대전 동부네거리,인앤아웃컴퍼니,36.350431,127.4421899,대전 동구 가양동 425-3,대전 동구 동서대로 1734 (가양동),18.0m x 10.0m,.,06:00 - 24:00,대전탑,경부고속도로,복합터미널,대전IC,,"36.3516289,127.4422606,189.71710991401542,20.274568948376135,100",18.0m x 10.0m,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
407,강남역 GM-Live,인앤아웃컴퍼니,37.5016424,127.0263372,서울 강남구 역삼동 814-6,서울 강남구 강남대로 438 (역삼동),25.0m x 12.0m,.,06:00 - 24:00,CGV,횡단보도,버스환승역,,,"37.5012482,127.0258935,395.1002638088853,38.70395463551975,100",1280 x 640 ,"1일 20초 100회 - 1,500만원/월1일 30초 70회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
408,강남역 GI-Live(이즈타워),인앤아웃컴퍼니,37.4986785,127.0280314,서울 강남구 역삼동 821,서울 강남구 테헤란로 101 (역삼동),10.8m x 18.7m,.,06:00 - 24:00,강남역사거리,테헤란로,,,,"37.497848,127.027428,387.56384835606826,31.547526516457257,100",1056 x 1792,"1일 20초 100회 - 1,600만원/월1일 30초 70회 - 1,600만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
410,신림 정도빌딩,인앤아웃컴퍼니,37.4848455,126.9321704,서울 관악구 신림동 1422-6,서울 관악구 남부순환로 1633 (신림동),16.0m x 7.2m,.,06:00 - 24:00,신림역,신원시장,서울대,,,"37.4843484,126.9306343,-296.39455351488243,22.862571247625002,100",1920 x 1080,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
411,광화문 일민미술관,인앤아웃컴퍼니,37.569836,126.9776958,서울 종로구 세종로 139-8,서울 종로구 세종대로 152 (세종로),(23.1 +7.6) x 10m,.,06:00 - 24:00,청계광장,광화문광장,,,,"37.5701198,126.9768682,-260.16909436352074,27.359088030398887,100",3720 x 1152,"1일 20초 100회 - 1,800만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
412,노량진 백이빌딩,인앤아웃컴퍼니,37.5131579,126.9388653,서울 동작구 노량진동 42-11,서울 동작구 노량진로 116 (노량진동),15.0 x 8.6m,.,06:00 - 24:00,노량진시장,수산시장,환승,,,"37.5135708,126.9397384,-133.99597129870813,27.851447930246383,100",1433 x 819,1일 20초 100회 - 500만원/월1일 30초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
413,구로디지털 조광빌딩,인앤아웃컴퍼니,37.4835533,126.9024876,서울 관악구 신림동 1655,서울 관악구 시흥대로 570 (신림동),12m x 7m,.,06:00 - 24:00,주거밀집,디지털로,번화가,,,"37.4843004,126.9024113,-186.27006810897353,20.961538461538353,100",1280 x 720,1일 20초 200회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
414,삼성동 K-POP 라이브미디어,인앤아웃컴퍼니,37.5098792,127.0617593,서울특별시 강남구 삼성동  159-9,서울특별시 강남구 영동대로  511 트레이드타워,81.0 x 20.0m,.,06:00 - 24:00,랜드마크,미디어아트,,,,"37.5100741,127.0627161,-106.46153846153824,21.089743589743588,100",7840 x 1954,"1구좌 - 10,000만원/월0.5구좌 - 8,000만원/월*1일 30초 70회 기준*기재된 내용 외의 기간 및 비용 협의 가능"
415,삼성동 코엑스 브랜드에비뉴(C-LIVE),인앤아웃컴퍼니,37.509559,127.0618483,서울특별시 강남구 삼성동  159-9,서울특별시 강남구 영동대로  511 트레이드타워,매체별 상이,.,06:00 - 24:00,전시,쇼핑,,관광,백화점,"37.5097805,127.0619728,-49.85897435897421,4.166666666666743,100",매체별 상이,"1일 20초 100회 - 3,000만원/월1일 30초 70회 - 3,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
417,홍대 지은빌딩,인앤아웃컴퍼니,37.5537755,126.9190275,서울 마포구 서교동 374-5,서울 마포구 양화로 111 (서교동),12m x 7m,.,06:00 - 24:00,홍대입구,합정,관광지,사거리,,"37.552779,126.9184036,34.77819704238754,23.179612958870177,100",1920 x 1080,1일 20초 100회 - 800만원/월*기재된 내용 외의 기간 및 비용 협의 가능
418,서울대입구 우남빌딩,인앤아웃컴퍼니,37.481808,126.9526721,서울 관악구 봉천동 861-11,서울 관악구 관악로 185 (봉천동),6.0m x 8.0m,.,06:00 - 24:00,샤로수길,대학가,,,,"37.4812616,126.9528261,-34.54261124737177,24.737210932025143,100",600 x 800,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
420,서울역 대합실,인앤아웃컴퍼니,37.554238,126.9715476,서울특별시 용산구 동자동  43-205,서울특별시 용산구 한강대로  405 서울역(철도역),8.1m x 4m,.,06:00 - 24:00,KTX,실내광장,,,,"37.5541806,126.9715247,-81.0042046250873,27.470217238962817,100",8.1m x 4m,"1일 20초 120회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
421,서울광장 금세기빌딩,인앤아웃컴퍼니,37.5664812,126.9794889,서울 중구 을지로1가 16,서울 중구 무교로 6 (을지로1가),12m x 7m,.,06:00 - 24:00,서울시청,행사이벤트,,,,"37.5654567,126.978655,3.9987167133850754,30.623686054660254,100",12m x 7m,"1일 20초 100회 - 1,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
422,종로 J-LIVE MEDIA ,인앤아웃컴퍼니,37.57116,126.9825234,서울 종로구 공평동 100,서울 종로구 종로 47 (공평동),43.9 x 10.9m,.,06:00 - 24:00,보신각공원,종각젊음거리,SC제일은행,,,"37.5701623,126.9835266,-69.78237650200265,22.296395193591355,100",4320 x 960 ((1216+1888+1216) x 960),"1일 30초 70회 - 2,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
423,청량리 무광빌딩,인앤아웃컴퍼니,37.5811884,127.0460753,서울 동대문구 청량리동 249,서울 동대문구 왕산로 211-1 (청량리동),11.0m x 7.0m,.,06:00 - 24:00,KTX,서울시립대학,,,,"37.5804747,127.0460884,363.52870493992003,30.574098798397895,100",제작가이드 별도문의,1일 20초 100회 - 500만원/월1일 30초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
424,롯데월드몰 커브드스탠딩,인앤아웃컴퍼니,37.5133245,127.1024721,서울특별시 송파구 신천동  29,서울특별시 송파구 올림픽로  300 롯데월드타워앤드롯데월드몰,1.3 x 2.4m x 20기,.,10:30 - 22:30,롯데몰,쇼핑,관광,,,"37.5246043,127.0548165,677.8144192256324,30.574098798397895,100",1280 x 2240,"1일 30초 70회 - 2,000만원/월*20기 동시 송출 (개별 불가)*기재된 내용 외의 기간 및 비용 협의 가능"
425,청담 리베라호텔,인앤아웃컴퍼니,37.5238673,127.0543277,서울 강남구 청담동 53-7,서울 강남구 영동대로 737 (청담동),17.0m x 10.5m,.,06:00 - 24:00,명품거리,고급주거,,,,"37.5257801,127.0546432,920.2710280373832,30.106809078771814,100",1280 x 720,1일 20초 100회 - 500만원/월1일 30초 100회 - 700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
426,종로 화영빌딩 전광판,인앤아웃컴퍼니,37.5701516,126.9919191,서울 종로구 종로3가 130,서울 종로구 종로 128 (종로3가),14.5 x 9.0m,.,06:00 - 24:00,인사동,관광,호텔,,,"37.5702923,126.9907047,818.0013351134816,25.23364485981306,100",1280 x 720,1일 20초 100회 - 500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
427,창원 빈폴 형지아울렛,인앤아웃컴퍼니,35.2443889,128.5868716,경남 창원시 마산회원구 합성동 130-2,경남 창원시 마산회원구 3.15대로 821 (합성동),12m x 5m,.,06:00 - 24:00,마산IC,창원역,KTX,소계광장,,"35.244926,128.5878427,-132.9378881987577,17.204968944099377,100",12m x 5m,1일 20초 100회 - 400만원/월*기재된 내용 외의 기간 및 비용 협의 가능
428,울산 남구 공업로터리,인앤아웃컴퍼니,35.5322085,129.3089707,울산 남구 신정동 1233-8,울산 남구 수암로 5 (신정동),12m x 8m,.,06:00 - 23:00,랜드마크,신정동,,,,"35.5319569,129.3079525,62.46583850931662,19.751552795031017,100",12m x 8m,1일 20초 100회 - 600만원/월*기재된 내용 외의 기간 및 비용 협의 가능
429,여의도 원센티널 전광판,인앤아웃컴퍼니,37.5248417,126.9241972,서울 영등포구 여의도동 23-2,서울 영등포구 여의대로 70 (여의도동),13.0 x 17.1m,.,06:00 - 24:00,IFC몰,국회의사당,,,,"37.5254581,126.9243955,2356.451731475284,40.98798397863804,100",1280 x 1696,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
430,여의도 IFC몰 DS패키지,인앤아웃컴퍼니,37.5251567,126.9258266,서울특별시 영등포구 여의도동  23,서울특별시 영등포구 국제금융로  10 서울 국제금융 센터,6.0 x 15.0m / 6.4 x 3.5m / 7.0 x 3.0m,.,09:00 - 22:00,CGV,쇼핑,복합문화,,,"37.5256837,126.9246413,2252.3128796728797,32.24299065420545,100",672 x 1440 / 1920 x 1152 / 1376 x 576,"1일 15초 133회 - 2,000만원/월1일 20초 100회 - 2,000만원/월1일 30초 66회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
431,양재역 다보빌딩,인앤아웃컴퍼니,37.4851454,127.0333062,서울 서초구 서초동 1366-7,서울 서초구 강남대로 243 (서초동),13.2 x 8.2m,.,06:00 - 24:00,서초구청,말죽거리,,,,"37.4847425,127.0340733,-71.38451268357777,25.367156208277535,100",1280 x 800,1일 20초 100회 - 700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
432,삼성동 코엑스 9to9 Cube,인앤아웃컴퍼니,37.5108917,127.0602588,서울특별시 강남구 삼성동  159-9,서울특별시 강남구 영동대로  511 트레이드타워,1.75m x 2.75m x 18기,.,06:00 - 24:00,코엑스,전시·쇼핑,,,,"37.5103906,127.0598541,118.42392755558264,26.488071051256572,100",896 x 1408,"1일 15초 133회 - 2,500만원/월1일 20초 100회 - 2,500만원/월1일 30초 66회 - 2,500만원/월*9to9 Cube + 별마당 LED = 3,000만원*기재된 내용 외의 기간 및 비용 협의 가능"
433,강남구 신사 메트로빌딩,인앤아웃컴퍼니,37.5178966,127.0194469,서울 강남구 신사동 502-1,서울 강남구 강남대로 628 (신사동),11.0m x 7.8m,.,06:00 - 24:00,강남대로,가로수길,,,,"37.5181461,127.0187986,-232.26568758344388,24.83311081441903,100",제작가이드 별도문의,1일 20초 100회 - 900만원/월*기재된 내용 외의 기간 및 비용 협의 가능
434,시청역 재능교육빌딩 ,인앤아웃컴퍼니,37.5653757,126.9792023,서울 중구 을지로1가 192-11,서울 중구 을지로 6 (을지로1가),13.4m x 8.4m,.,06:00 - 24:00,서울광장,행사이벤트,,,,"37.5651623,126.97773,779.852498984157,30.898008939455238,100",13.4m x 8.4m,1일 20초 100회 - 900만원/월*기재된 내용 외의 기간 및 비용 협의 가능
436,SRT 수서역 디지털 매체,인앤아웃컴퍼니,37.4854176,127.1045596,서울특별시 강남구 수서동  208-1,서울 강남구 밤고개로 99 (수서동),"B1 중앙-10.0 x 6.0m, B2 트윈비젼-22.0 x 2.2m",.,04:30 - 25:30,SRT,3호선,분당선,,,"37.4863872,127.1031728,106.4363499158309,17.23341266616342,100",제작가이드 별도문의,"맞이방 전광판1일 20초 157회 - 500만원/월트윈비전1일 20초 157회 - 500만원/월스마트안전게이트 1일 20초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
437,강남역 PMP ,인앤아웃컴퍼니,37.4979886,127.0278188,서울특별시 강남구 역삼동  858,서울특별시 강남구 강남대로  396 강남역,위치별 상이 (이미지 첨부),.,05:00 - 25:00,지하철역사,환승입구,,,,,위치별 상이 (이미지 첨부),"1일 20초 150회 - 3,000만원/월1일 30초 100회 - 3,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
438,성신여대입구 강북미디어,인앤아웃컴퍼니,37.5925251,127.0145478,서울 성북구 동소문동6가 106,서울 성북구 동소문로 83-1 (동소문동6가),10.6m x 5m,.,06:00 - 24:00,성북천,중심상업지,주거밀집,,,"37.5921419,127.0141753,35.19875776397516,24.658385093167706,100",1920x1080,1일 20초 100회 - 700만원/월*기재된 내용 외의 기간 및 비용 협의 가능
439,강남역 환승통로 미디어월,인앤아웃컴퍼니,37.4970849,127.0280611,서울특별시 강남구 역삼동  858,서울특별시 강남구 강남대로  384-2,21.1m x 1.9m x 2면,.,06:00 - 24:00,신분당선,통로양쪽2면,,,,"37.4967553,127.0283348,-281.9986648865142,26.635514018691357,100","11,264 x 1,024",1일 20초 100회 - 1200만원/월1일 30초 100회 - 1500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
442,ME-MN LIVE 싱크,인앤아웃컴퍼니,37.565196,126.9828817,서울특별시 중구 남대문로2가  5-3,서울특별시 중구 남대문로  90 SK네트웍스,20.3x11m / 11x20.3m,.,06:00 - 24:00,을지로입구역,면세점,명동거리,,,"37.5668853,126.9826288,154.51233031505157,25.41451586101065,90",1872x1008 / 1008x1860,"1일 30초 35회 - 1,500만원/월*2개 전광판 SYNC 판매**기재된 내용 외의 기간 및 비용 협의 가능"
443,여의도 유진빌딩,인앤아웃컴퍼니,37.5246331,126.9274986,서울 영등포구 여의도동 24-3,서울 영등포구 국제금융로 24 (여의도동),18.5 x 11.3m,.,06:00 - 24:00,더현대,IFC몰,한국거래소,여의도,국회의사당,"37.5252497,126.9277638,175.1576977271922,34.7308097907231,90",1728 x 960,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
444,타임스퀘어 쇼핑몰,인앤아웃컴퍼니,37.5176343,126.9042788,서울 영등포구 영등포동4가 442,서울 영등포구 영중로 15 (영등포동4가),"98인치 필라 48면, LED 3면",.,07:00 - 24:00,영등포역,신세계백화점,,,,"37.5177761,126.9041621,107.44728434504772,23.45047923322663,100",3584*2048,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
446,사당역 스마트가로,(주)큐엠씨코리아,37.4776759,126.9814768,서울특별시 동작구 사당동  1112,서울특별시 동작구 동작대로  3 사당역(4호선),(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,동작대로,,,,"37.4776821,126.9816085,-834.6784829922303,11.396219898239233,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
448,시흥대로 스마트가로,(주)큐엠씨코리아,37.4865454,126.9048163,서울특별시 동작구 신대방동  686-48,서울특별시 동작구 시흥대로  606 동작 협성휴포레 시그니처,(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,도림천로,,,,"37.486518,126.904645,-651.4196970497393,15.549574530827027,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
449,노량진역 스마트가로,(주)큐엠씨코리아,37.5134941,126.9420795,서울특별시 동작구 노량진동  71-2,서울특별시 동작구 노량진로  146 이데아빌딩,(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,수산시장,고시촌,,,"37.5136038,126.9420394,-233.7839143021428,11.524015425395648,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
450,신대방삼거리 스마트가로,(주)큐엠씨코리아,37.4998457,126.9283211,서울특별시 동작구 대방동  406-10,서울특별시 동작구 상도로  76 7호선 신대방삼거리역,(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,상도로,,,,"37.499727,126.9281775,-1063.4324766024624,20.597497853510763,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
451,숭실대 스마트가로,(주)큐엠씨코리아,37.4965303,126.9537136,서울특별시 동작구 상도동  511,서울특별시 동작구 상도로  369 숭실대학교,(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,숭실대입구역,,,,"37.4965644,126.953527,-995.445256155178,16.76363203881426,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
453,노량진 동작구청 앞 스마트가로,(주)큐엠씨코리아,37.5124187,126.9400799,서울특별시 동작구 노량진동  47-2,서울특별시 동작구 장승배기로  161 동작구청,(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,수산시장,고시촌,,,"37.512469,126.9403077,-859.8542018420717,24.30356814105065,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
454,장승배기역 스마트가로,(주)큐엠씨코리아,37.5053888,126.9392464,서울특별시 동작구 상도동  902,서울특별시 동작구 장승배기로11가길  11 상도파크자이,(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,주거밀집,,,,"37.5054313,126.9395243,-480.4868256439963,15.444542581945159,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
455,롯데월드몰 샹들리에,인앤아웃컴퍼니,37.5139319,127.1047369,서울특별시 송파구 신천동  29,서울특별시 송파구 올림픽로  300 롯데월드타워앤드롯데월드몰,7.7 x 4.4m x 4면 (2기),.,10:30 - 22:30,2030,애플스토어,롯데시네마,,,"37.5142807,127.1028222,466.89571689652024,27.772343337049087,90",1920 x 1080,"1일 30초 90회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
456,이수역 스마트가로,(주)큐엠씨코리아,37.4856235,126.9818251,서울특별시 동작구 사당동  144-4,서울특별시 동작구 동작대로  105-2 김도영 철학원,(전면) 940x530mm / (후면) 960x550mm,"지역 상권 광고 홍보 효과 UP! 국가 스마트 시범 적용 공공가로시설물 휴지통 상단 전면에 영상광고, 후면에 이미지광고 게시. 유동인구가 많은 지하철역, 버스정류장, 먹자골목 등 입구변에 위치하여 시설물을 이용하는 사람들에게 확실한 노출 보장",06:00 - 24:00,스마트휴지통,총신대입구역,,,,"37.485585,126.981945,-747.3302401807294,14.591108077152922,100",1920x1080(2K)FHD,영상광고 1일 15초 100회 - 15만원/월조명광고 이미지 all day - 37만5천원/월
457,오송역 주차장 방향 전광판 ,(주)라이프스케이프,36.6203227,127.3283451,충청북도 청주시 흥덕구 오송읍 봉산리 370-36,충북 청주시 흥덕구 오송읍 오송가락로 123,3.3m x 1.4m,"세종시 진입 유일 철도역, 오송역! 정부부처, 공공기관, 연구소 관련 유동인구 전국 최다!",06:00 - 24:00,오송생명과학,세종정부청사,세종수목원,,,"36.6199936,127.3281926,34.65334208764195,28.648616064373464,100",1920 x 1080,1일 20초 100회 - 500만원/월
458,세종시 정부청사 BRT,(주)라이프스케이프,36.5020094,127.2595918,세종특별자치시  어진동  536,세종특별자치시  도움3로  5 1생활권 환승주차장,49인치 KIOSK /  75인치 LCD / 4.1m x 2.2m LED전광판,"세종시 진입 유일 철도역, 오송역! 정부부처, 공공기관, 연구소 관련 유동인구 전국 최다!",06:00 - 24:00,정부청사,스마트쉘터,,,,"36.5042976,127.2613204,-486.62461318392326,15.869063348718473,100",-,KIOSK: 정류장 1개소 당 1면 영상(상단)과 이미지(하단) 택1-22만원/월LCD: 정류장 1개소 당 2면 영상(상단)과 이미지(하단) 택1-22만원/월LED: 정류장 14개소 양쪽2면-66만원/월
459,그린스마트존 버스쉘터,인앤아웃컴퍼니,37.5182467,127.0240211,서울특별시 강남구 신사동  501-5,서울특별시 강남구 도산대로  151-2,위치 별 상이,.,06:00 - 24:00,도산대로,압구정,신사,청담,,,A면 624*832 B면 1080*1920 C면C-1면 384*768,"1일 30초 108회(도산대로) - 3,500만원/월1일 30초 108회(학동로) - 1,600만원/월전체 - 4,800만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
460,그린스마트존 버스쉘터,인앤아웃컴퍼니,37.5123119,127.0249545,서울특별시 강남구 논현동  279-67,서울특별시 강남구 학동로  112-2,위치 별 상이,.,06:00 - 24:00,학동로,압구정,명품거리,,,,A면 624*832 B면 1080*1920 C면C-1면 384*768,"1일 30초 108회(도산대로) - 3,500만원/월1일 30초 108회(학동로) - 1,600만원/월전체 - 4,800만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
464,올림픽대로 로드블럭여의12 디지털야립,인앤아웃컴퍼니,37.5155917,126.9366151,서울특별시 동작구 노량진동  320-1,서울 동작구 노들로 674 (노량진동),12.0 x 16.0m x 2면 x 6기(측면포함),.,06:00 - 24:00,도시고속,여의도,노량진,,,,(192+1008) x (1408+192),"1일 15초 70회 - 6,000만원/월1일 30초 70회 - 1억원/월출퇴근 25분(5분x5회) - 1.5억원/월*기재된 내용 외의 기간 및 비용 협의 가능"
465,성우빌딩,클레이컴퍼니,37.5010422,127.0256886,서울 서초구 서초동 1305-6,서울 서초구 강남대로 433 (서초동),1,1111,11:11 - 11:11,병원광고,,,,,,1,11111111
466,테헤란로 DA빌딩,인앤아웃컴퍼니,37.4996098,127.0316927,서울 강남구 역삼동 648-22,서울 강남구 테헤란로 125 (역삼동),8.3m x 17.8m,.,06:00 - 24:00,강남역,비즈니스,상습정체,,,,800 x 1728,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,300만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
467,테헤란로 현익빌딩,인앤아웃컴퍼니,37.5000225,127.0355043,서울 강남구 역삼동 736-6,서울 강남구 테헤란로 146 (역삼동),13.0 x 17.2m,.,06:00 - 24:00,역삼역,파이낸스센터,,,,,1200 x 1632,"1일 20초 100회 - 1,200만원/월1일 30초 100회 - 1,500만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
468,테헤란로 역삼빌딩,인앤아웃컴퍼니,37.5016216,127.0384127,서울 강남구 역삼동 678-35,서울 강남구 테헤란로 205 (역삼동),13.9m*15.0m,.,06:00 - 24:00,역삼역,정체구간,반포,,,,1376x1472,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,200만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
469,홍대 스타피카소 ,인앤아웃컴퍼니,37.557251,126.9249991,서울 마포구 동교동 166-14,서울 마포구 양화로 176 (동교동),10.2m*20.6m,.,06:00 - 24:00,홍대입구,관광,문화의거리,맛집,문화,,"1,024 x 2,064","1일 20초 100회 - 1,200 만원/월1일 30초 100회 - 1,500 만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
470,동대문 고이비토 전광판,인앤아웃컴퍼니,37.5638522,127.0068049,서울 중구 광희동2가 359,서울 중구 장충단로 215 (광희동2가),19.4x7.2m,.,06:00 - 24:00,,,,,,,1920x688,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,300만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
471,도산대로 큐빅타워,㈜지앤에스,37.518914,127.0272979,서울 강남구 논현동 7-4,서울 강남구 도산대로 170 (논현동),A면(전광판)18.6 x 10.6m / B면(조명)18.6 x 10.6m,"서울 강남 명품 및 수입자동차 상권인 도산대로 을지병원사거리에 위치 신사역, 압구정역, 학동역의 중앙에 위치 강남 젋음의 대표거리인 가로수길, 압구정 로데오거리 근접",06:00 - 24:00,명품거리,압구정로데오,,,,,A면(전광판)1824 x 1024 / B면(조명)1824 x 1024 ,"1일 20초 100회 - 1,000만원/월1일 30초 100회 - 1,200만원/월"
473,하남 스타필드 미디어타워&파노라마,인앤아웃컴퍼니,37.5454607,127.2241015,경기도 하남시 신장동  616,경기도 하남시 미사대로  750 스타필드 하남,A면(미디어타워) 12x20  B면(파노라마) 78x1.8,.,10:00 - 22:00,하남스타필드,스타필드,맛집,쇼핑,미사,,.,"1일 20초 100회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
474,하남 스타필드 스탠딩 & E/V홀 스크린,인앤아웃컴퍼니,37.5456925,127.2228176,경기도 하남시 신장동  616,경기도 하남시 미사대로  750 스타필드 하남,A면(스탠딩) 49인치 B면(E/V홀) 43인치,.,10:00 - 22:00,하남스타필드,대형쇼핑몰,쇼핑,맛집,미사,,.,1일 20초 100회 -500만원/월*기재된 내용 외의 기간 및 비용 협의 가능
475,합정역 다다빌딩 영상 광고판(풀컬러),디테일즈,37.5501408,126.9174765,서울 마포구 서교동 395-186,서울 마포구 독막로3길 41 (서교동),3840 픽셀 (W) * 2880 픽셀(H),"1.  합정역, 상수역, 홍대입구역 트리플 역세권   1030 YoungTarget 이 모여 있는 중심지 위치   2. 홍대 레드로드와 도보로 3분 거리 위치   3. 합정역/상수역 카페거리, 홍대 클럽거리의 중심지에 위치   4. 팬 이벤트 장소들이 밀집되어 아이돌 팬덤 타겟팅에 적합한 지리적 위치  5. 장애물 없는 직선형 골목의 시작지점에 위치, 원거리에서도 높은 가시성을 자랑함  6. 홍대에 비해 가격대 있는 맛집 방문을 원하는 30대 + 팬 이벤트 방문을 위해 온 10~20대 구성으로 MZ공략에 최적화 된 지역     ",06:30 - 23:30,아이돌광고,생일광고,전광판,영상광고,합정전광판,,3840 픽셀 (W) * 2880 픽셀(H),"1일 20초 100회 이상 300만원/월1일 20초 100회 이하 송출일정, 시간 ,비용 협의가능 연락주세요단기송출 가능"
476,제주공항 디지털OOH 국내선 도착장,인앤아웃컴퍼니,33.5059364,126.4959513,제주특별자치도 제주시 용담이동 2002,제주특별자치도 제주시 공항로 2 (용담이동),"캐로셀 2.3x1.3mx5기(10면) / 기둥 1.5x2.8mx5기(15면), 3.0x2.8m(확장면)",.,06:00 - 22:00,제주,제주공항,국내최대관광,제주도,국내면세점,,제작가이드 별도문의,"1일 15초 150회 - 2,000만원/월*기재된 내용 외의 기간 및 비용 협의 가능"
